Time Stamp, NXSLP1-INST, NXOFS1-INST (mV), NXZSC1-INST (PPB), NOSLP1-INST, NOOFS1-INST (mV), NOZSC1-INST (PPB)
11/02/2011 15:44:48,      1.075,        0.8,    18098.6,      1.082,        0.7,    18045.0
11/03/2011 08:37:39,      1.030,        0.0,   -20581.1,      1.039,        0.0,   -19007.1
11/03/2011 13:08:49,      0.833,        0.0,   577126.9,      0.832,        0.0,   578371.9
11/03/2011 13:09:06,      0.831,        0.0,   465404.7,      0.827,        0.0,   465404.7
11/03/2011 13:09:27,      0.822,        0.0,   468884.8,      0.819,        0.0,   467582.9
11/03/2011 15:57:27,      0.822,        0.0,       29.2,      0.819,        0.0,       10.0
11/03/2011 16:05:45,      0.806,        0.0,   472229.4,      0.808,        0.0,   469620.7
11/03/2011 16:11:26,      0.992,        0.0,   377226.9,      0.996,        0.0,   375566.7
11/03/2011 16:15:01,      0.993,        0.0,   463868.9,      0.994,        0.0,   463842.9
11/03/2011 16:17:23,      0.993,        0.0,   462595.0,      0.995,        0.0,   462440.0
11/08/2011 14:15:48,      0.989,        0.0,   461462.5,      0.991,        0.0,   461008.9
11/08/2011 14:15:49,      0.989,        0.0,   459000.0,      0.991,        0.0,   459000.0
11/08/2011 14:22:48,      0.996,        0.1,     3608.2,      0.998,        0.1,     3529.7
11/08/2011 14:28:14,      0.993,        0.1,   462515.1,      0.996,        0.1,   460278.0
11/08/2011 14:28:24,      0.993,        0.1,   459055.4,      0.996,        0.1,   458967.5
11/28/2011 16:54:50,      1.052,        0.1,   436307.4,      1.054,        0.1,   433624.6
11/28/2011 17:01:01,      1.051,        0.1,     -352.9,      1.049,        0.1,    -2030.0
11/28/2011 17:01:01,      1.051,        0.1,        0.0,      1.049,        0.1,        0.0
11/28/2011 17:01:03,      1.051,        0.1,        0.0,      1.049,        0.1,        0.0
12/13/2011 08:30:11,      1.048,        0.1,   465726.9,      1.035,        0.1,   465276.7
12/13/2011 08:36:51,      1.046,        0.1,     4021.2,      1.044,        0.2,     3806.0
12/13/2011 08:36:52,      1.046,        0.1,        0.0,      1.044,        0.2,        0.0
12/13/2011 08:37:03,      1.047,        0.1,     -697.0,      1.039,        0.1,    -2054.8
12/13/2011 08:37:03,      1.047,        0.1,        0.0,      1.039,        0.1,        0.0
12/13/2011 08:37:04,      1.047,        0.1,        0.0,      1.039,        0.1,        0.0
12/13/2011 08:37:04,      1.047,        0.1,        0.0,      1.039,        0.1,        0.0
12/13/2011 08:37:05,      1.047,        0.1,        0.0,      1.039,        0.1,        0.0
12/13/2011 08:37:05,      1.047,        0.1,        0.0,      1.039,        0.1,        0.0
12/13/2011 08:37:05,      1.047,        0.1,        0.0,      1.039,        0.1,        0.0
01/04/2012 13:54:37,      1.040,       -0.0,    -2868.2,      1.031,       -0.0,    -3679.7
01/04/2012 13:54:39,      1.040,       -0.0,        0.0,      1.031,       -0.0,        0.0
01/04/2012 13:54:40,      1.040,       -0.0,      -62.6,      1.031,       -0.0,        2.6
01/04/2012 14:02:31,      1.031,       -0.0,   463745.0,      1.028,       -0.0,   460286.3
01/24/2012 11:24:50,      1.014,       -0.0,   467168.5,      1.035,       -0.0,   455968.3
01/24/2012 11:36:57,      1.021,        0.1,     3541.0,      1.041,        0.1,     2674.3
01/24/2012 11:36:57,      1.021,        0.1,        0.0,      1.041,        0.1,        0.0
02/13/2012 14:06:35,      1.016,        0.0,    -2016.5,      1.037,        0.0,    -1911.4
02/13/2012 14:12:02,      1.075,        0.0,   445865.9,      1.081,        0.0,   440132.3
02/23/2012 08:57:46,      1.100,        0.0,   452800.2,      1.099,        0.0,   451411.2
02/23/2012 08:57:46,      1.100,        0.0,   459000.0,      1.099,        0.0,   459000.0
02/27/2012 14:11:42,      1.044,        0.0,   483639.3,      1.050,        0.0,   480715.0
02/27/2012 14:11:42,      1.044,        0.0,   459000.0,      1.050,        0.0,   459000.0
12/06/2012 23:23:18,      0.866,        0.0,   326860.8,      0.867,        0.0,   327969.8
12/06/2012 23:23:22,      0.866,        0.0,   271000.0,      0.867,        0.0,   271000.0
12/06/2012 23:23:22,      0.866,        0.0,   271000.0,      0.867,        0.0,   271000.0
12/06/2012 23:31:02,      0.869,        0.1,     1128.5,      0.867,        0.0,     -102.8
12/06/2012 23:31:08,      0.869,        0.1,        0.0,      0.867,        0.0,        0.0
12/11/2012 00:15:24,      0.912,        0.1,   259156.7,      0.911,        0.0,   258040.0
12/25/2012 23:29:37,      0.975,        0.1,   255244.0,      0.970,        0.0,   254494.9
01/01/2013 21:27:19,      0.973,        0.0,       -5.0,      0.973,        0.0,      809.9
01/01/2013 22:12:22,      0.976,        0.0,   271503.0,      0.975,        0.0,   270186.9
01/01/2013 22:16:07,      0.974,        0.0,     -538.6,      0.972,        0.0,    -1030.6
01/01/2013 22:16:11,      0.973,        0.0,      -30.8,      0.972,        0.0,      -30.8
01/01/2013 22:16:14,      0.973,        0.0,        0.0,      0.972,        0.0,        0.0
01/06/2013 23:31:27,      0.948,        0.0,   281719.9,      0.946,        0.0,   278302.9
01/06/2013 23:31:47,      0.972,        0.0,   268196.5,      0.962,        0.0,   266569.7
01/06/2013 23:32:14,      0.963,        0.0,   273054.0,      0.964,        0.0,   270307.7
01/06/2013 23:32:15,      0.963,        0.0,   271000.0,      0.964,        0.0,   271000.0
01/21/2013 03:33:56,      0.968,        0.1,     1524.9,      0.970,        0.1,     1641.9
01/21/2013 03:33:57,      0.968,        0.1,        0.0,      0.970,        0.1,        0.0
