Time Stamp, NXCNC1-AVG (PPB), NOCNC1-AVG (PPB), N2CNC1-AVG (PPB)
03/15/2023 06:00:01,       -1.9,       -0.0,       -1.9
03/15/2023 07:00:01,       -1.4,       -0.6,       -0.9
03/15/2023 08:00:01,        4.1,       -0.2,        4.3
03/15/2023 09:00:01,        4.5,        0.2,        4.3
03/15/2023 10:00:01,        3.3,        0.3,        3.0
03/15/2023 11:00:01,        2.5,       -0.1,        2.7
03/15/2023 12:00:01,        0.7,       -0.0,        0.7
03/15/2023 13:00:01,       -1.1,       -0.2,       -0.9
03/15/2023 14:00:01,       -0.4,       -0.3,       -0.2
03/15/2023 15:00:01,       -1.0,        0.1,       -1.2
03/15/2023 16:00:01,       -1.9,       -0.1,       -1.8
03/15/2023 17:00:01,       -1.4,       -0.0,       -1.4
03/15/2023 18:00:01,       -2.3,       -0.3,       -2.0
03/15/2023 19:00:01,       -2.5,       -0.3,       -2.3
03/15/2023 20:00:01,       -1.2,       -0.0,       -1.1
03/15/2023 21:00:01,        1.5,       -0.1,        1.6
03/15/2023 22:00:01,        4.2,       -0.2,        4.3
03/15/2023 23:00:01,       19.5,        1.5,       18.0
03/16/2023 00:00:01,       19.1,        1.9,       17.3
03/16/2023 01:00:01,       18.7,        1.2,       17.5
03/16/2023 02:00:01,       31.9,       11.8,       20.2
03/16/2023 03:00:01,       25.2,        5.5,       19.7
03/16/2023 04:00:01,       27.2,        6.9,       20.3
03/16/2023 05:00:01,       29.7,        9.2,       20.6
03/16/2023 06:00:01,       19.4,        3.7,       15.6
03/16/2023 07:00:01,       11.0,       -0.1,       11.1
03/16/2023 08:00:01,       12.9,        0.5,       12.3
03/16/2023 09:00:01,       13.0,        0.4,       12.6
03/16/2023 10:00:01,       21.6,        2.9,       18.7
03/16/2023 11:00:01,       11.7,        0.3,       11.4
03/16/2023 12:00:01,        4.3,        0.1,        4.2
03/16/2023 13:00:01,        0.5,       -0.1,        0.6
03/16/2023 14:00:01,       -1.5,       -0.4,       -1.1
03/16/2023 15:00:01,       -2.3,       -0.1,       -2.2
03/16/2023 16:00:01,       -2.7,       -0.1,       -2.6
