Time Stamp, O3FLOW-AVG (cc/m), SMPFLW-AVG (cc/m), SMPPRS-AVG (InHg), RCPRES-AVG (InHg)
04/19/2022 00:00:01,       78.5,      500.9,       28.8,       12.2
04/20/2022 00:00:01,       78.8,      499.1,       28.7,       10.4
04/21/2022 00:00:01,       79.4,      504.6,       29.0,       10.4
04/22/2022 00:00:01,       79.2,      502.7,       28.9,       10.5
04/23/2022 00:00:01,       79.5,      505.2,       29.0,       10.6
04/24/2022 00:00:01,       78.9,      501.1,       28.8,       10.5
04/25/2022 00:00:01,       78.7,      499.1,       28.7,       10.4
04/26/2022 00:00:01,       78.6,      498.4,       28.6,       10.3
04/27/2022 00:00:01,       78.9,      500.2,       28.7,       10.3
04/28/2022 00:00:01,       79.0,      501.6,       28.8,       10.3
04/29/2022 00:00:01,       79.1,      503.0,       28.9,       10.3
04/30/2022 00:00:01,       79.0,      501.7,       28.8,       10.3
05/01/2022 00:00:01,       78.8,      499.5,       28.7,       10.2
05/02/2022 00:00:01,       78.4,      496.4,       28.5,       10.1
05/03/2022 00:00:01,       78.7,      498.5,       28.6,       10.2
05/04/2022 00:00:01,       78.5,      497.1,       28.6,       11.3
05/05/2022 00:00:01,       78.6,      498.7,       28.7,       12.1
05/06/2022 00:00:01,       78.7,      499.4,       28.7,       12.0
05/07/2022 00:00:01,       78.0,      493.3,       28.3,       11.9
05/08/2022 00:00:01,       78.3,      495.6,       28.5,       11.9
05/09/2022 00:00:01,       78.7,      499.6,       28.7,       12.0
05/10/2022 00:00:01,       79.0,      502.1,       28.8,       12.0
05/11/2022 00:00:01,       79.2,      503.4,       28.9,       12.0
05/12/2022 00:00:01,       79.1,      502.7,       28.9,       11.9
05/13/2022 00:00:01,       79.0,      502.0,       28.8,       11.8
05/14/2022 00:00:01,       78.8,      500.4,       28.7,       11.8
05/15/2022 00:00:01,       78.5,      497.7,       28.6,       11.7
05/16/2022 00:00:01,       78.2,      495.9,       28.5,       11.7
05/17/2022 00:00:01,       78.1,      494.6,       28.4,       11.7
05/18/2022 00:00:01,       78.5,      497.5,       28.6,       11.7
05/19/2022 00:00:01,       78.5,      497.6,       28.6,       11.7
05/20/2022 00:00:01,       78.1,      494.6,       28.4,       11.6
05/25/2022 00:00:01,       78.9,      502.4,       28.8,        9.9
05/26/2022 00:00:01,       79.0,      505.9,       29.1,        9.8
05/27/2022 00:00:01,       78.8,      498.5,       28.6,        9.7
05/28/2022 00:00:01,       78.4,      494.6,       28.4,        9.6
05/29/2022 00:00:01,       78.5,      496.1,       28.5,        9.6
05/30/2022 00:00:01,       78.8,      500.8,       28.8,        9.5
05/31/2022 00:00:01,       78.9,      501.5,       28.8,        9.5
06/01/2022 00:00:01,       78.8,      501.3,       28.8,        9.5
06/02/2022 00:00:01,       78.6,      498.9,       28.7,        9.4
06/03/2022 00:00:01,       78.4,      497.1,       28.6,        9.4
06/04/2022 00:00:01,       78.6,      498.6,       28.6,        9.4
06/05/2022 00:00:01,       78.7,      499.7,       28.7,        9.4
06/06/2022 00:00:01,       78.6,      498.7,       28.6,        9.4
06/07/2022 00:00:01,       78.6,      496.9,       28.5,        9.4
06/08/2022 00:00:01,       78.5,      495.8,       28.5,        9.4
06/09/2022 00:00:01,       78.4,      496.2,       28.5,        9.4
06/10/2022 00:00:01,       78.2,      495.0,       28.4,        9.3
06/11/2022 00:00:01,       78.4,      496.9,       28.5,        9.4
06/12/2022 00:00:01,       78.3,      496.4,       28.5,        9.3
06/13/2022 00:00:01,       78.3,      495.8,       28.5,        9.3
06/14/2022 00:00:01,       78.4,      497.0,       28.6,        9.3
06/15/2022 00:00:01,       78.4,      497.6,       28.6,        9.3
06/16/2022 00:00:01,       78.5,      500.1,       28.7,        9.4
06/17/2022 00:00:01,       78.5,      500.0,       28.7,        9.3
06/18/2022 00:00:01,       78.3,      497.1,       28.6,        9.3
06/19/2022 00:00:01,       78.5,      495.2,       28.4,        9.3
06/20/2022 00:00:01,       78.8,      487.4,       28.0,        9.3
06/21/2022 00:00:01,       78.9,      486.8,       28.0,        9.3
06/22/2022 00:00:01,       78.7,      482.3,       27.7,        9.3
06/23/2022 00:00:01,       78.4,      478.9,       27.5,        9.2
06/24/2022 00:00:01,       78.4,      472.4,       27.1,        9.2
06/25/2022 00:00:01,       78.6,      468.2,       26.9,        9.2
06/26/2022 00:00:01,       78.7,      470.6,       27.0,        9.2
06/27/2022 00:00:01,       78.5,      468.8,       26.9,        9.2
06/28/2022 00:00:01,       78.7,      436.9,       25.1,        9.1
06/29/2022 00:00:01,       79.0,      383.4,       22.0,        9.0
06/30/2022 00:00:01,       79.0,      458.2,       26.3,        9.6
07/01/2022 00:00:01,       78.9,      501.9,       28.8,        9.8
07/02/2022 00:00:01,       78.5,      498.9,       28.7,        9.6
07/03/2022 00:00:01,       78.5,      497.8,       28.6,        9.6
07/04/2022 00:00:01,       78.8,      500.3,       28.7,        9.6
07/05/2022 00:00:01,       78.9,      503.2,       28.9,        9.6
07/06/2022 00:00:01,       78.5,      499.6,       28.7,        9.5
07/07/2022 00:00:01,       78.4,      499.2,       28.7,        9.5
07/08/2022 00:00:01,       78.5,      500.0,       28.7,        9.5
07/09/2022 00:00:01,       78.6,      500.9,       28.8,        9.5
07/10/2022 00:00:01,       78.5,      500.8,       28.8,        9.5
07/11/2022 00:00:01,       78.5,      500.6,       28.8,        9.5
07/12/2022 00:00:01,       78.3,      499.0,       28.7,        9.4
07/13/2022 00:00:01,       78.1,      496.9,       28.5,        9.4
07/14/2022 00:00:01,       78.4,      499.3,       28.7,        9.4
07/15/2022 00:00:01,       78.7,      501.8,       28.8,        9.5
07/16/2022 00:00:01,       78.8,      503.0,       28.9,        9.5
07/17/2022 00:00:01,       78.6,      501.6,       28.8,        9.4
07/18/2022 00:00:01,       78.4,      500.1,       28.7,        9.4
07/19/2022 00:00:01,       78.3,      498.5,       28.6,        9.4
07/20/2022 00:00:01,       78.3,      498.5,       28.6,        9.4
07/21/2022 00:00:01,       78.1,      496.7,       28.5,        9.4
07/22/2022 00:00:01,       78.0,      496.3,       28.5,        9.4
07/23/2022 00:00:01,       78.4,      499.6,       28.7,        9.4
07/24/2022 00:00:01,       78.6,      501.5,       28.8,        9.4
07/25/2022 00:00:01,       78.4,      500.0,       28.7,        9.5
07/26/2022 00:00:01,       78.3,      499.4,       28.7,        9.7
07/27/2022 00:00:01,       78.5,      500.7,       28.8,        9.8
07/28/2022 00:00:01,       78.3,      499.0,       28.7,        9.8
07/29/2022 00:00:01,       78.3,      498.9,       28.7,        9.7
07/30/2022 00:00:01,       78.5,      499.6,       28.7,        9.7
07/31/2022 00:00:01,       78.9,      503.4,       28.9,        9.7
08/01/2022 00:00:01,       78.8,      503.3,       28.9,        9.6
08/02/2022 00:00:01,       78.6,      500.5,       28.7,        9.5
08/03/2022 00:00:01,       78.5,      499.8,       28.7,        9.4
08/04/2022 00:00:01,       78.6,      501.3,       28.8,        9.4
08/05/2022 00:00:01,       78.7,      502.0,       28.8,        9.4
08/06/2022 00:00:01,       78.9,      503.5,       28.9,        9.5
08/07/2022 00:00:01,       78.9,      504.0,       29.0,        9.4
08/08/2022 00:00:01,       78.8,      503.5,       28.9,        9.4
08/09/2022 00:00:01,       78.6,      501.5,       28.8,        9.4
08/10/2022 00:00:01,       78.6,      501.5,       28.8,        9.4
08/11/2022 00:00:01,       78.8,      502.9,       28.9,        9.4
08/12/2022 00:00:01,       78.7,      501.9,       28.8,        9.4
08/13/2022 00:00:01,       78.8,      503.3,       28.9,        9.4
08/14/2022 00:00:01,       78.9,      503.6,       28.9,        9.4
08/15/2022 00:00:01,       78.6,      501.8,       28.8,        9.3
08/16/2022 00:00:01,       78.5,      500.3,       28.7,        9.3
08/17/2022 00:00:01,       78.6,      501.6,       28.8,        9.3
08/18/2022 00:00:01,       78.7,      501.8,       28.8,        9.4
