Time Stamp, NOXCNC1-INST (PPB), NOCNC1-INST (PPB), NO2CNC1-INST (PPB), STABIL-INST (PPM)
03/30/2024 16:44:01,    87.7515,    11.9598,    75.7917,    20.9004
03/30/2024 16:45:01,    87.2763,    12.2579,    75.0184,    15.6034
03/30/2024 16:46:01,    86.9049,    12.4107,    74.4942,     4.3291
03/30/2024 16:47:01,    69.7501,    13.6403,    56.1098,     2.4159
03/30/2024 16:48:01,    61.4743,     9.1077,    52.3666,    19.8871
03/30/2024 16:49:01,    78.5887,    10.6249,    67.9639,    19.2146
03/30/2024 16:50:01,    76.5940,    14.5884,    62.0056,    18.1948
03/30/2024 16:51:01,    76.8174,    14.1136,    62.7037,    16.6458
03/30/2024 16:52:01,    76.1930,    13.3872,    62.8058,     8.4474
03/30/2024 16:53:01,    75.9181,    12.2356,    63.6825,     2.7431
03/30/2024 16:54:01,    27.4028,     8.1903,    19.2125,    12.0712
03/30/2024 16:55:01,    68.0262,     9.3081,    58.7181,    17.0956
03/30/2024 16:56:01,    66.3533,     9.1004,    57.2530,    16.0211
03/30/2024 16:57:01,    63.8283,     9.5455,    54.2829,    14.2360
03/30/2024 16:58:01,    65.0674,     8.8017,    56.2657,    12.7330
03/30/2024 16:59:01,    65.5334,     9.0932,    56.4403,     2.7891
03/30/2024 17:00:01,    65.3542,     8.5834,    56.7708,     1.1581
03/30/2024 17:01:01,    61.2192,     8.2213,    52.9979,     0.9976
03/30/2024 17:02:01,    61.9471,     9.0240,    52.9231,     1.7207
03/30/2024 17:03:01,    62.4116,     9.8772,    52.5344,     1.6887
03/30/2024 17:04:01,    62.3943,    10.6620,    51.7323,     1.1817
03/30/2024 17:05:01,    62.7532,    11.4921,    51.2611,     0.4743
03/30/2024 17:06:01,    63.3211,    11.1847,    52.1364,     0.4316
03/30/2024 17:07:01,    64.9528,    12.1607,    52.7921,     0.7031
03/30/2024 17:08:01,    63.7948,    12.8901,    50.9048,     1.0002
03/30/2024 17:09:01,    64.3134,    11.7058,    52.6075,     0.7065
03/30/2024 17:10:01,    63.2359,    10.8741,    52.3618,     0.5195
03/30/2024 17:11:01,    62.6772,    11.0341,    51.6431,     0.7507
03/30/2024 17:12:01,    62.1049,    10.4986,    51.6063,     0.7832
03/30/2024 17:13:01,    61.9726,    10.3772,    51.5954,     0.8675
03/30/2024 17:14:01,    61.7231,    10.1831,    51.5400,     0.5427
03/30/2024 17:15:01,    61.4702,    10.0728,    51.3974,     0.3459
03/30/2024 17:16:01,    61.7582,     9.8356,    51.9225,     0.3805
03/30/2024 17:17:01,    62.4618,     9.2148,    53.2470,     0.4024
03/30/2024 17:18:01,    64.0591,     9.3550,    54.7041,     0.7334
03/30/2024 17:19:01,    62.4478,     9.1725,    53.2753,     0.8993
03/30/2024 17:20:01,    62.5987,     8.7039,    53.8947,     0.6602
03/30/2024 17:21:01,    63.0640,     8.4402,    54.6238,     0.4485
03/30/2024 17:22:01,    62.9640,     8.2929,    54.6711,     0.4041
03/30/2024 17:23:01,    62.3494,     8.2376,    54.1118,     0.2819
03/30/2024 17:24:01,    62.0422,     8.6050,    53.4371,     0.3527
03/30/2024 17:25:01,    60.6512,     8.4001,    52.2512,     0.6548
