Time Stamp, SMPFLW-AVG (cc/m), O3FLOW-AVG (cc/m), RCPRES-AVG (InHg), SMPPRS-AVG (InHg), RCTEMP-AVG (DegC), PMTTMP-AVG (DegC), CNVTMP-AVG (DegC), BOXTMP-AVG (DegC), MFTEMP-AVG (DegC), AZERO-AVG (mV), HVPS-AVG (Volts)
02/24/2023 00:00:02,     480.05,      84.40,       7.46,      27.34,      49.99,       7.02,     315.49,      31.81,     -30.93,      34.09,      744.1
02/25/2023 00:00:01,     486.58,      85.39,       8.38,      27.71,      49.99,       7.02,     315.82,      31.06,     -30.93,      33.53,      744.0
02/26/2023 00:00:02,     483.98,      84.81,       9.28,      27.56,      49.99,       7.02,     315.11,      31.39,     -30.93,      33.55,      743.9
02/27/2023 00:00:02,     480.41,      84.24,       9.06,      27.36,      49.99,       7.03,     315.33,      31.80,     -30.93,      33.83,      744.0
02/28/2023 00:00:02,     473.82,      83.47,       9.92,      26.99,      49.99,       7.02,     315.41,      31.33,     -30.93,      33.56,      744.0
03/01/2023 00:00:02,     476.69,      83.75,      10.16,      27.15,      49.99,       7.02,     315.79,      31.22,     -30.93,      33.55,      744.0
03/02/2023 00:00:02,     477.34,      83.71,      10.65,      27.19,      49.99,       7.02,     315.51,      31.16,     -30.93,      33.39,      743.9
03/03/2023 00:00:02,     476.55,      83.51,      11.12,      27.17,      49.99,       7.02,     315.76,      31.29,     -30.93,      33.43,      744.0
03/04/2023 00:00:02,     474.33,      82.81,      11.71,      27.03,      49.99,       7.02,     315.48,      31.56,     -30.93,      33.45,      744.0
03/05/2023 00:00:02,     478.21,      83.72,      10.23,      27.24,      49.99,       7.04,     316.24,      32.70,     -30.93,      33.96,      744.1
03/06/2023 00:00:02,     484.35,      84.60,      10.48,      27.59,      49.99,       7.03,     315.35,      32.10,     -30.93,      33.61,      744.0
03/07/2023 00:00:02,     483.57,      83.72,      12.19,      27.56,      49.99,       7.02,     315.24,      31.05,     -30.93,      33.16,      744.0
03/21/2023 00:00:03,     488.69,      83.56,      14.28,      27.70,      49.74,       6.97,     306.31,      31.07,     -30.93,      49.69,      744.1
03/25/2023 00:00:03,     479.51,      84.32,       6.72,      26.36,      49.99,       6.94,     315.46,      30.38,     -30.93,      49.18,      744.0
03/26/2023 00:00:02,     474.84,      83.56,       6.29,      27.04,      49.99,       6.94,     315.67,      30.97,     -30.93,      38.93,      744.0
03/27/2023 00:00:03,     480.38,      84.40,       6.52,      27.36,      49.99,       6.93,     315.44,      30.81,     -30.93,      35.70,      743.9
03/28/2023 00:00:03,     481.47,      84.33,       6.37,      27.42,      49.99,       6.93,     315.98,      30.55,     -30.93,      34.47,      744.0
03/29/2023 00:00:02,     483.91,      84.82,       6.46,      27.56,      49.98,       6.93,     314.89,      30.05,     -30.93,      33.81,      744.0
03/30/2023 00:00:03,     484.68,      84.78,       6.72,      27.60,      49.99,       6.93,     315.82,      30.42,     -30.93,      33.44,      744.0
03/31/2023 00:00:03,     486.37,      85.09,       6.56,      27.70,      49.99,       6.93,     315.93,      30.31,     -30.93,      33.09,      744.0
04/01/2023 00:00:03,     481.06,      84.37,       6.42,      27.40,      49.99,       6.93,     314.98,      30.54,     -30.93,      33.23,      744.0
04/02/2023 00:00:04,     474.09,      83.52,       6.19,      27.00,      49.99,       6.94,     315.53,      31.56,     -30.93,      33.61,      744.0
04/03/2023 00:00:04,     481.82,      84.51,       6.44,      27.44,      49.99,       6.93,     315.47,      30.98,     -30.93,      33.10,      744.0
04/04/2023 00:00:04,     479.00,      84.26,       6.24,      27.28,      49.98,       6.93,     315.56,      30.66,     -30.93,      32.83,      744.0
04/05/2023 00:00:04,     481.28,      84.34,       6.35,      27.41,      49.99,       6.93,     315.27,      30.89,     -30.93,      32.97,      744.0
04/06/2023 00:00:05,     481.63,      84.38,       6.42,      27.43,      49.99,       6.93,     315.09,      31.06,     -30.93,      33.18,      744.0
04/07/2023 00:00:03,     486.50,      84.98,       6.43,      27.71,      49.99,       6.93,     315.44,      31.22,     -30.93,      33.03,      743.9
04/08/2023 00:00:03,     489.36,      85.39,       6.59,      27.87,      49.99,       6.93,     315.80,      30.61,     -30.93,      32.67,      744.0
04/09/2023 00:00:03,     488.60,      85.39,       6.61,      27.85,      49.99,       6.93,     315.95,      31.08,     -30.93,      32.71,      743.9
04/10/2023 00:00:04,     488.51,      85.39,       6.61,      27.82,      49.98,       6.93,     315.76,      30.96,     -30.93,      32.59,      743.9
04/11/2023 00:00:03,     488.78,      85.28,       6.59,      27.84,      49.99,       6.93,     315.60,      30.71,     -30.93,      32.40,      744.0
04/12/2023 00:00:03,     484.22,      84.91,       6.36,      27.58,      49.99,       6.93,     315.62,      30.91,     -30.93,      32.57,      744.0
04/13/2023 00:00:04,     482.21,      84.48,       6.34,      27.46,      49.99,       6.93,     315.35,      31.17,     -30.93,      32.80,      744.0
04/14/2023 00:00:04,     481.67,      84.32,       6.17,      27.43,      49.99,       6.93,     315.47,      31.57,     -30.93,      33.20,      743.9
04/15/2023 00:00:05,     480.96,      84.12,       6.21,      27.39,      49.99,       6.93,     315.73,      31.59,     -30.93,      33.14,      744.1
04/16/2023 00:00:01,     479.00,      84.00,       6.29,      27.28,      49.99,       6.94,     315.74,      32.99,     -30.93,      33.88,      744.1
04/17/2023 00:00:02,     476.74,      83.76,       6.22,      27.15,      49.99,       6.95,     315.91,      33.06,     -30.93,      33.83,      744.0
