Time Stamp, PMTDET-INST (mV)
03/30/2024 17:00:03,       56.6
03/30/2024 18:00:03,       32.5
03/30/2024 19:00:03,       30.3
03/30/2024 20:00:02,       75.3
03/30/2024 21:00:05,       30.2
03/30/2024 22:00:04,       31.6
03/30/2024 23:00:03,       46.0
03/31/2024 00:00:03,       36.8
03/31/2024 01:00:05,       28.3
03/31/2024 02:00:03,       47.6
03/31/2024 03:00:03,       27.2
03/31/2024 04:00:04,       27.8
03/31/2024 05:00:03,       35.2
03/31/2024 06:00:03,       37.1
03/31/2024 07:00:03,       19.0
03/31/2024 08:00:03,       35.5
03/31/2024 09:00:04,       35.3
03/31/2024 10:00:04,       31.7
03/31/2024 11:00:04,       39.1
03/31/2024 12:00:03,       44.6
03/31/2024 13:00:04,       33.2
03/31/2024 14:00:03,       42.4
03/31/2024 15:00:04,       32.7
03/31/2024 16:00:03,       34.7
03/31/2024 17:00:03,       36.9
03/31/2024 18:00:03,       39.0
03/31/2024 19:00:03,       26.7
03/31/2024 20:00:03,       31.0
03/31/2024 21:00:03,       29.7
03/31/2024 22:00:04,       46.2
03/31/2024 23:00:04,       29.5
04/01/2024 00:00:03,       28.3
04/01/2024 01:00:03,       33.3
04/01/2024 02:00:04,       34.3
04/01/2024 03:00:03,       27.1
04/01/2024 04:00:04,       39.8
04/01/2024 05:00:04,       35.3
04/01/2024 06:00:03,       34.4
04/01/2024 07:00:05,       27.4
04/01/2024 08:00:05,       39.0
