Time Stamp, NXCNC1-AVG (PPB), NOCNC1-AVG (PPB), N2CNC1-AVG (PPB), STABIL-AVG (PPM), SMPFLW-AVG (cc/m), O3FLOW-AVG (cc/m), RCPRES-AVG (InHg), SMPPRS-AVG (InHg), RCTEMP-AVG (DegC), PMTTMP-AVG (DegC), CNVTMP-AVG (DegC), BOXTMP-AVG (DegC), AZERO-AVG (mV), HVPS-AVG (Volts), REFGND-AVG (mV), RF4096-AVG (mV), PMTDET-AVG (mV)
04/10/2023 11:35:01,     3.9870,    -0.2298,     4.2169,     0.6583,     897.42,      82.17,       5.70,      27.35,      40.00,       4.93,     314.35,      30.46,      10.32,      479.3,       -0.0,     4095.7,    23.0117
04/10/2023 11:36:01,     4.0256,    -0.2429,     4.2684,     0.2940,     928.26,      82.07,       5.63,      28.29,      40.00,       4.92,     315.19,      30.45,      10.32,      479.3,       -0.0,     4095.8,    10.1080
04/10/2023 11:37:01,     4.1683,    -0.2497,     4.4179,     0.0644,     928.44,      81.85,       5.56,      28.29,      40.00,       4.93,     315.71,      30.43,      10.32,      479.3,        0.1,     4096.1,     8.2103
04/10/2023 11:38:01,     4.4129,    -0.2461,     4.6591,     0.1307,     897.53,      82.04,       5.59,      27.35,      40.00,       4.93,     316.23,      30.44,      10.32,      479.3,       -0.0,     4096.1,    19.9123
04/10/2023 11:39:01,     4.5687,    -0.2456,     4.8143,     0.2060,     928.18,      82.03,       6.02,      28.29,      40.00,       4.92,     316.25,      30.42,      10.32,      479.3,       -0.0,     4095.7,     9.2224
04/10/2023 11:40:01,     4.7648,    -0.2496,     5.0144,     0.2426,     897.41,      82.20,       6.42,      27.35,      40.00,       4.93,     315.88,      30.42,      10.31,      478.4,       -0.0,     4095.9,    20.2286
04/10/2023 11:41:01,     4.4118,    -0.2696,     4.6814,     0.1876,     897.48,      82.14,       6.91,      27.35,      40.00,       4.93,     315.71,      30.42,      10.31,      479.3,       -0.0,     4095.9,    20.8611
04/10/2023 11:42:01,     3.7818,    -0.2908,     4.0726,     0.2419,     898.00,      82.11,       7.38,      27.37,      40.00,       4.93,     314.47,      30.40,      10.31,      479.3,       -0.0,     4095.9,    10.3610
04/10/2023 11:43:01,     3.1965,    -0.3066,     3.5031,     0.5087,     897.60,      81.93,       7.85,      27.35,      40.00,       4.93,     314.68,      30.42,      10.30,      479.3,       -0.0,     4096.2,    18.0779
04/10/2023 11:44:01,     2.4442,    -0.3147,     2.7589,     0.7310,     897.81,      82.05,       8.38,      27.36,      40.00,       4.93,     315.33,      30.39,      10.30,      479.3,       -0.0,     4095.9,    17.8249
